"filename", "language", "PHP", "MS SQL", "Diff", "JavaScript", "CSS", "HTML", "SVG", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\css\categories.css", "CSS", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 16, 96
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\css\detailProduct.css", "CSS", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 8, 54
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\css\log.css", "CSS", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 9, 69
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\css\style.css", "CSS", 0, 0, 0, 0, 179, 0, 0, 0, 0, 9, 33, 221
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\dist\css\adminlte.css", "CSS", 0, 0, 0, 0, 43649, 0, 0, 0, 0, 21, 9342, 53012
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\dist\css\adminlte.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 10, 0, 12
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\dist\css\alt\adminlte.components.css", "CSS", 0, 0, 0, 0, 9738, 0, 0, 0, 0, 8, 2448, 12194
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\dist\css\alt\adminlte.components.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 8
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\dist\css\alt\adminlte.core.css", "CSS", 0, 0, 0, 0, 25200, 0, 0, 0, 0, 14, 4777, 29991
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\dist\css\alt\adminlte.core.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 11, 0, 13
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\dist\css\alt\adminlte.extra-components.css", "CSS", 0, 0, 0, 0, 1473, 0, 0, 0, 0, 8, 275, 1756
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\dist\css\alt\adminlte.extra-components.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 8
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\dist\css\alt\adminlte.light.css", "CSS", 0, 0, 0, 0, 30703, 0, 0, 0, 0, 28, 6133, 36864
"c:\laragon\www\Duan1Nhom4\Duan1Nhom4\admin\assets\dist\css\alt\adminlte.light.min.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 15, 0, 18
